"plot","tree","species","dbh","height"
84,1,"PP",264,86
84,2,"PP",111,66
84,3,"PP",148,80
84,4,"PP",71,0
84,5,"PP",219,0
84,6,"PP",206,0
84,7,"PP",165,0
84,8,"PP",136,0
84,9,"PP",143,0
85,1,"PP",145,62
85,2,"PP",239,100
86,1,"PP",183,72
86,2,"PP",223,85
86,3,"PP",254,75
87,1,"PP",181,78
87,2,"PP",240,81
87,3,"PP",187,64
87,4,"PP",194,0
88,1,,,
89,1,"GF",69,41
89,2,"GF",124,72
90,1,"PP",96,44
91,1,"PP",93,80
91,2,"PP",152,82
91,3,"PP",220,87
91,4,"PP",141,0
91,5,"PP",103,0
91,6,"PP",226,0
92,1,"PP",206,72
92,2,"PP",101,62
92,3,"PP",121,62
92,4,"PP",150,72
92,5,"PP",86,0
92,6,"PP",120,0
93,1,"PP",323,115
94,1,"PP",251,92
95,1,"PP",129,69
95,2,"PP",137,69
96,1,"DF",62,52
96,2,"DF",111,75
96,3,"DF",169,77
96,4,"PP",206,84
97,1,"DF",124,43
97,2,"DF",64,30
98,1,"PP",108,75
98,2,"PP",102,75
98,3,"PP",299,95
98,4,"PP",61,0
98,5,"PP",152,64
98,6,"PP",223,0
99,1,"PP",226,79
99,2,"PP",188,75
99,3,"PP",207,85
99,4,"PP",215,85
100,1,"PP",185,89
100,2,"PP",201,72
100,3,"PP",197,75
100,4,"PP",54,0
100,5,"PP",199,0
100,6,"PP",184,0
100,7,"PP",181,0
101,1,"PP",281,95
102,1,"PP",293,102
103,1,"PP",183,66
103,2,"PP",233,72
104,1,"PP",204,79
105,1,"DF",102,43
105,2,"DF",78,39
105,3,"PP",102,66
105,4,"DF",91,0
105,5,"PP",124,0
106,1,"PP",153,56
106,2,"PP",89,79
106,3,"PP",127,61
106,4,"PP",122,66
106,5,"PP",118,0
106,6,"PP",191,0
106,7,"PP",158,0
107,1,"PP",129,77
107,2,"PP",187,82
107,3,"PP",274,87
107,4,"PP",227,0
107,5,"PP",183,0
108,1,"PP",248,102
108,2,"PP",238,103
108,3,"PP",202,100
108,4,"PP",176,0
109,1,"PP",224,85
109,2,"PP",221,105
109,3,"PP",252,97
110,1,"GF",103,71
110,2,"GF",107,79
110,3,"GF",103,75
110,4,"GF",41,0
111,1,"GF",144,74
111,2,"GF",119,54
111,3,"GF",112,74
111,4,"GF",137,0
111,5,"GF",146,0
112,1,"PP",83,67
112,2,"PP",202,90
112,3,"PP",154,79
112,4,"PP",100,0
112,5,"PP",209,0
112,6,"PP",209,0
112,7,"PP",120,0
112,8,"PP",191,0
112,9,"PP",117,0
113,1,"PP",169,73
113,2,"PP",136,79
113,3,"PP",150,76
113,4,"PP",137,0
113,5,"PP",225,0
114,1,,,
